clean_text$retweets$favorites$sento_anal
At   If you've never driven the Tesla Model S , you are missing out! If you've never use...$0.0$0.0$0.8447967171669006
Watch the new Tesla Model S completely destroy its predecessor in a drag race $0.0$0.0$0.43064963817596436
Watch the new Tesla Model S completely destroy its predecessor in a drag race: The P85D is a force to be recko... $0.0$0.0$0.46389588713645935
"Basically a Porschekiller that can transport people."" Watch Tesla Model S P85D destroy the P85 in a drag race.  """$0.0$0.0$0.5029439926147461
The Tesla Model S Daily is out!  Stories via$1.0$1.0$0.4338717758655548
selling Tesla Model S p85 fully loaded, purchased new in /14, only has K miles, fully loaded w/ everything!$0.0$0.0$0.1342005431652069
selling Tesla Model S P, only K miles, bought it new in April . Fully loaded, i mean fully loaded. sale for K, chicago, IL$0.0$0.0$0.3245943486690521
Watch The New Tesla Model S P85D Destroy The Old P85 In A Drag Race $0.0$1.0$0.5165363550186157
Can't decide between the Tesla P85 and P85D? This Model S racing showdown may help: The Tesla Model S continue.. $0.0$0.0$0.4748605489730835
Can't decide between the Tesla P85 and P85D? This Model S racing showdown may help: The Tesla Model S continue.. $0.0$0.0$0.4748605489730835
I liked a video from  Tesla Model S P85D (691HP) vs P85 (415HP) Heads up Drag Racing from a$0.0$0.0$0.26231488585472107
a Tesla Model S <3$0.0$0.0$0.42486321926116943
Watch The New Tesla Model S P85D Destroy The Old P85 In A Drag Race  via$0.0$0.0$0.4580613076686859
First Owner Fatality In Tesla Model S  talityconfirmedinteslamodels/ …$0.0$0.0$0.6463223695755005
The Tesla Model S is the only fully electric car I would ever drive$0.0$1.0$0.2113550305366516
Nils and Hugo are getting this Tesla Model S protected with EL Ultimate Self Healing Film. For more... $0.0$0.0$0.5057286620140076
Watch The New Tesla Model S P85D Destroy The Old P85 In A Drag Race $0.0$0.0$0.5165363550186157
Elon Musk promises automatic ‘solid metal snake’ chargers for the Tesla Model S $0.0$0.0$0.4195375442504883
Watch The New Tesla Model S P85D Destroy The Old P85 In A Drag Race  via$0.0$0.0$0.4580613076686859
Elon Musk promises automatic 'solid metal snake' chargers for the Tesla Model S : We don't know what Elon Musk'.. $0.0$0.0$0.23525425791740417
Elon Musk promises automatic 'solid metal snake' chargers for the Tesla Model S : We don't know what Elon Musk'.. $0.0$0.0$0.23525425791740417
Elon Musk promises automatic 'solid metal snake' chargers for the Tesla Model S : We don't know what Elon Musk'.. $0.0$0.0$0.23525425791740417
Watch The New Tesla Model S P85D Destroy The Old P85 In A Drag Race… $0.0$0.0$0.5165363550186157
