sl_lev_va,date,PRECIPITATION,MAX_TEMP,MIN_TEMP,MEAN_TEMP
44.65,1969-04-27,0.0,86.0,57.0,71.5
44.67,1969-04-28,0.0,88.0,62.0,75.0
44.69,1969-04-29,0.0,87.0,65.0,76.0
44.67,1969-04-30,0.0,86.0,63.0,74.5
44.63,1969-05-01,0.0,86.0,58.0,72.0
44.61,1969-05-02,2.12,84.0,64.0,74.0
44.62,1969-05-03,0.02,83.0,65.0,74.0
44.62,1969-05-04,0.0,83.0,62.0,72.5
44.62,1969-05-05,0.0,85.0,62.0,73.5
44.61,1969-05-06,0.0,89.0,61.0,75.0
44.59,1969-05-07,0.0,89.0,66.0,77.5
44.55,1969-05-08,0.0,89.0,64.0,76.5
44.56,1969-05-09,0.02,87.0,67.0,77.0
44.55,1969-05-10,0.0,82.0,58.0,70.0
44.49,1969-05-11,0.0,84.0,53.0,68.5
44.46,1969-05-12,0.0,86.0,64.0,75.0
44.42,1969-05-13,0.0,90.0,63.0,76.5
44.43,1969-05-14,0.12,85.0,67.0,76.0
44.42,1969-05-15,0.0,90.0,68.0,79.0
44.36,1969-05-16,0.31,88.0,69.0,78.5
44.35,1969-05-17,0.01,87.0,67.0,77.0
44.33,1969-05-18,2.32,87.0,69.0,78.0
44.47,1969-05-19,4.62,86.0,68.0,77.0
44.63,1969-05-20,0.0,89.0,69.0,79.0
44.68,1969-05-21,0.0,89.0,67.0,78.0
44.69,1969-05-22,1.74,87.0,68.0,77.5
44.71,1969-05-23,0.0,87.0,64.0,75.5
44.73,1969-05-24,0.0,89.0,65.0,77.0
44.73,1969-05-25,0.0,90.0,67.0,78.5
44.72,1969-05-26,0.0,91.0,70.0,80.5
44.71,1969-05-27,1.17,90.0,67.0,78.5
44.66,1969-05-28,0.0,86.0,69.0,77.5
44.64,1969-05-29,0.0,88.0,70.0,79.0
44.64,1969-05-30,0.0,89.0,64.0,76.5
44.63,1969-05-31,0.0,92.0,68.0,80.0
44.6,1969-06-01,0.07,94.0,70.0,82.0
44.58,1969-06-02,0.0,92.0,69.0,80.5
44.57,1969-06-03,0.0,94.0,69.0,81.5
44.53,1969-06-04,0.0,92.0,72.0,82.0
44.53,1969-06-05,0.09,94.0,70.0,82.0
44.53,1969-06-06,0.33,92.0,66.0,79.0
44.5,1969-06-07,0.04,88.0,70.0,79.0
44.5,1969-06-08,0.01,90.0,70.0,80.0
44.49,1969-06-09,0.0,95.0,68.0,81.5
44.51,1969-06-10,0.01,93.0,78.0,85.5
44.46,1969-06-11,0.0,93.0,72.0,82.5
44.42,1969-06-12,0.28,94.0,74.0,84.0
44.4,1969-06-13,0.08,90.0,74.0,82.0
44.39,1969-06-14,0.04,91.0,74.0,82.5
44.39,1969-06-15,0.16,94.0,73.0,83.5
44.38,1969-06-16,0.0,96.0,73.0,84.5
44.33,1969-06-17,0.08,96.0,71.0,83.5
44.29,1969-06-18,0.0,96.0,73.0,84.5
44.28,1969-06-19,0.0,96.0,74.0,85.0
44.24,1969-06-20,0.01,95.0,72.0,83.5
44.21,1969-06-21,0.25,94.0,70.0,82.0
44.19,1969-06-22,0.0,97.0,72.0,84.5
44.18,1969-06-23,0.0,96.0,73.0,84.5
44.18,1969-06-24,0.0,98.0,75.0,86.5
44.13,1969-06-25,0.22,100.0,75.0,87.5
44.11,1969-06-26,0.0,99.0,74.0,86.5
44.09,1969-06-27,0.0,98.0,74.0,86.0
44.06,1969-06-28,0.0,96.0,75.0,85.5
44.06,1969-06-29,0.0,94.0,69.0,81.5
44.04,1969-06-30,0.05,94.0,73.0,83.5
44.01,1969-07-01,0.39,95.0,73.0,84.0
44.0,1969-07-02,0.01,97.0,73.0,85.0
43.99,1969-07-03,0.82,91.0,70.0,80.5
43.99,1969-07-04,0.0,94.0,72.0,83.0
43.96,1969-07-05,0.01,97.0,75.0,86.0
43.94,1969-07-06,0.0,98.0,76.0,87.0
43.92,1969-07-07,0.0,96.0,76.0,86.0
43.93,1969-07-08,0.77,96.0,76.0,86.0
43.93,1969-07-09,0.01,94.0,73.0,83.5
43.92,1969-07-10,0.0,95.0,74.0,84.5
43.89,1969-07-11,0.0,96.0,76.0,86.0
43.86,1969-07-12,0.0,94.0,75.0,84.5
43.88,1969-07-13,0.41,94.0,74.0,84.0
43.87,1969-07-14,0.0,94.0,75.0,84.5
43.84,1969-07-15,0.06,89.0,74.0,81.5
43.79,1969-07-16,0.01,89.0,76.0,82.5
43.76,1969-07-17,0.01,95.0,67.0,81.0
43.75,1969-07-18,0.02,95.0,73.0,84.0
43.74,1969-07-19,0.08,89.0,73.0,81.0
43.74,1969-07-20,0.3,90.0,72.0,81.0
43.74,1969-07-21,0.0,85.0,73.0,79.0
43.73,1969-07-22,0.97,92.0,70.0,81.0
43.73,1969-07-23,0.0,93.0,72.0,82.5
43.73,1969-07-24,0.39,92.0,74.0,83.0
43.73,1969-07-25,0.59,90.0,75.0,82.5
43.73,1969-07-26,1.06,91.0,75.0,83.0
43.72,1969-07-27,0.48,90.0,76.0,83.0
43.71,1969-07-28,0.18,89.0,74.0,81.5
43.69,1969-07-29,0.23,91.0,73.0,82.0
43.73,1969-07-30,1.41,93.0,74.0,83.5
43.75,1969-07-31,0.0,93.0,70.0,81.5
43.75,1969-08-01,0.26,91.0,73.0,82.0
43.74,1969-08-02,0.0,93.0,74.0,83.5
43.75,1969-08-03,0.36,92.0,72.0,82.0
43.76,1969-08-04,0.33,82.0,72.0,77.0
43.76,1969-08-05,0.0,89.0,71.0,80.0
43.74,1969-08-06,0.0,89.0,71.0,80.0
43.73,1969-08-07,0.04,91.0,73.0,82.0
43.72,1969-08-08,0.0,94.0,71.0,82.5
43.71,1969-08-09,0.02,93.0,73.0,83.0
43.71,1969-08-10,0.52,92.0,74.0,83.0
43.71,1969-08-11,0.2,84.0,73.0,78.5
43.7,1969-08-12,0.0,85.0,72.0,78.5
43.69,1969-08-13,0.0,86.0,72.0,79.0
43.67,1969-08-14,0.02,90.0,71.0,80.5
43.71,1969-08-15,3.24,90.0,72.0,81.0
43.74,1969-08-16,0.03,93.0,72.0,82.5
43.77,1969-08-17,0.0,93.0,73.0,83.0
43.78,1969-08-18,0.0,94.0,73.0,83.5
43.79,1969-08-19,0.0,95.0,73.0,84.0
43.81,1969-08-20,0.0,94.0,75.0,84.5
43.83,1969-08-21,0.0,97.0,77.0,87.0
43.84,1969-08-22,0.11,95.0,75.0,85.0
43.87,1969-08-23,0.14,85.0,71.0,78.0
43.91,1969-08-24,0.45,88.0,72.0,80.0
43.97,1969-08-25,0.14,89.0,71.0,80.0
43.96,1969-08-26,0.0,91.0,70.0,80.5
43.94,1969-08-27,0.0,91.0,67.0,79.0
43.93,1969-08-28,0.03,90.0,71.0,80.5
43.95,1969-08-29,0.01,87.0,70.0,78.5
43.99,1969-08-30,3.21,87.0,71.0,79.0
44.01,1969-08-31,0.14,90.0,70.0,80.0
44.04,1969-09-01,1.32,88.0,73.0,80.5
44.08,1969-09-02,0.21,85.0,72.0,78.5
44.13,1969-09-03,0.0,89.0,68.0,78.5
44.16,1969-09-04,0.0,91.0,70.0,80.5
44.19,1969-09-05,0.0,92.0,71.0,81.5
44.21,1969-09-06,0.01,92.0,73.0,82.5
44.25,1969-09-07,0.14,89.0,74.0,81.5
44.26,1969-09-08,0.0,91.0,72.0,81.5
44.26,1969-09-09,0.0,91.0,71.0,81.0
44.26,1969-09-10,0.0,92.0,74.0,83.0
44.26,1969-09-11,0.0,91.0,62.0,76.5
44.26,1969-09-12,0.0,90.0,69.0,79.5
44.26,1969-09-13,0.0,88.0,70.0,79.0
44.28,1969-09-14,0.04,86.0,69.0,77.5
44.34,1969-09-15,0.43,87.0,72.0,79.5
44.34,1969-09-16,0.0,92.0,72.0,82.0
44.34,1969-09-17,0.0,93.0,74.0,83.5
44.35,1969-09-18,0.0,90.0,73.0,81.5
44.35,1969-09-19,0.03,89.0,74.0,81.5
44.35,1969-09-20,0.62,89.0,74.0,81.5
44.37,1969-09-21,0.6,89.0,74.0,81.5
44.37,1969-09-22,0.42,89.0,71.0,80.0
44.38,1969-09-23,0.76,91.0,73.0,82.0
44.39,1969-09-24,0.0,89.0,72.0,80.5
44.39,1969-09-25,0.0,89.0,70.0,79.5
44.38,1969-09-26,0.0,90.0,69.0,79.5
44.37,1969-09-27,0.0,91.0,69.0,80.0
44.37,1969-09-28,0.02,88.0,71.0,79.5
44.37,1969-09-29,0.3,82.0,68.0,75.0
44.41,1969-09-30,0.28,78.0,69.0,73.5
44.41,1969-10-01,0.25,88.0,74.0,81.0
44.4,1969-10-02,0.17,81.0,73.0,77.0
44.4,1969-10-03,0.26,86.0,73.0,79.5
44.4,1969-10-04,0.25,83.0,75.0,79.0
44.41,1969-10-05,0.51,87.0,72.0,79.5
44.43,1969-10-06,0.01,87.0,68.0,77.5
44.44,1969-10-07,0.03,87.0,70.0,78.5
44.44,1969-10-08,0.0,90.0,68.0,79.0
44.44,1969-10-09,0.04,84.0,67.0,75.5
44.45,1969-10-10,0.0,88.0,66.0,77.0
44.45,1969-10-11,0.01,89.0,68.0,78.5
44.45,1969-10-12,0.0,86.0,65.0,75.5
44.45,1969-10-13,0.0,86.0,59.0,72.5
44.46,1969-10-14,0.0,89.0,65.0,77.0
44.46,1969-10-15,0.0,89.0,66.0,77.5
44.45,1969-10-16,0.0,90.0,68.0,79.0
44.45,1969-10-17,0.0,89.0,67.0,78.0
44.44,1969-10-18,0.04,89.0,60.0,74.5
44.43,1969-10-19,0.06,84.0,71.0,77.5
44.45,1969-10-20,0.02,87.0,70.0,78.5
44.48,1969-10-21,0.0,86.0,71.0,78.5
44.49,1969-10-22,1.12,84.0,71.0,77.5
44.49,1969-10-23,0.06,77.0,66.0,71.5
44.42,1969-10-24,0.34,73.0,65.0,69.0
44.44,1969-10-25,0.32,72.0,65.0,68.5
44.47,1969-10-26,0.37,75.0,67.0,71.0
44.48,1969-10-27,0.03,83.0,67.0,75.0
44.48,1969-10-28,0.0,83.0,67.0,75.0
44.48,1969-10-29,0.03,78.0,67.0,72.5
44.47,1969-10-30,0.01,76.0,64.0,70.0
44.51,1969-10-31,0.48,79.0,68.0,73.5
44.53,1969-11-01,0.04,83.0,70.0,76.5
44.52,1969-11-02,0.0,87.0,67.0,77.0
