lev_dt,sl_lev_va,date
06/26/1969,44.11,1969-06-26
06/27/1969,44.09,1969-06-27
06/28/1969,44.06,1969-06-28
06/29/1969,44.06,1969-06-29
06/30/1969,44.04,1969-06-30
07/01/1969,44.01,1969-07-01
07/02/1969,44.0,1969-07-02
07/03/1969,43.99,1969-07-03
07/04/1969,43.99,1969-07-04
07/05/1969,43.96,1969-07-05
07/06/1969,43.94,1969-07-06
07/07/1969,43.92,1969-07-07
07/08/1969,43.93,1969-07-08
07/09/1969,43.93,1969-07-09
07/10/1969,43.92,1969-07-10
07/11/1969,43.89,1969-07-11
07/12/1969,43.86,1969-07-12
07/13/1969,43.88,1969-07-13
07/14/1969,43.87,1969-07-14
07/15/1969,43.84,1969-07-15
07/16/1969,43.79,1969-07-16
07/17/1969,43.76,1969-07-17
07/18/1969,43.75,1969-07-18
07/19/1969,43.74,1969-07-19
07/20/1969,43.74,1969-07-20
07/21/1969,43.74,1969-07-21
07/22/1969,43.73,1969-07-22
07/23/1969,43.73,1969-07-23
07/24/1969,43.73,1969-07-24
07/25/1969,43.73,1969-07-25
07/26/1969,43.73,1969-07-26
07/27/1969,43.72,1969-07-27
07/28/1969,43.71,1969-07-28
07/29/1969,43.69,1969-07-29
07/30/1969,43.73,1969-07-30
07/31/1969,43.75,1969-07-31
08/01/1969,43.75,1969-08-01
08/02/1969,43.74,1969-08-02
08/03/1969,43.75,1969-08-03
08/04/1969,43.76,1969-08-04
08/05/1969,43.76,1969-08-05
08/06/1969,43.74,1969-08-06
08/07/1969,43.73,1969-08-07
08/08/1969,43.72,1969-08-08
08/09/1969,43.71,1969-08-09
08/10/1969,43.71,1969-08-10
08/11/1969,43.71,1969-08-11
08/12/1969,43.7,1969-08-12
08/13/1969,43.69,1969-08-13
08/14/1969,43.67,1969-08-14
08/15/1969,43.71,1969-08-15
08/16/1969,43.74,1969-08-16
08/17/1969,43.77,1969-08-17
08/18/1969,43.78,1969-08-18
08/19/1969,43.79,1969-08-19
08/20/1969,43.81,1969-08-20
08/21/1969,43.83,1969-08-21
08/22/1969,43.84,1969-08-22
08/23/1969,43.87,1969-08-23
08/24/1969,43.91,1969-08-24
08/25/1969,43.97,1969-08-25
08/26/1969,43.96,1969-08-26
08/27/1969,43.94,1969-08-27
08/28/1969,43.93,1969-08-28
08/29/1969,43.95,1969-08-29
08/30/1969,43.99,1969-08-30
08/31/1969,44.01,1969-08-31
09/01/1969,44.04,1969-09-01
09/02/1969,44.08,1969-09-02
09/03/1969,44.13,1969-09-03
09/04/1969,44.16,1969-09-04
09/05/1969,44.19,1969-09-05
09/06/1969,44.21,1969-09-06
09/07/1969,44.25,1969-09-07
09/08/1969,44.26,1969-09-08
09/09/1969,44.26,1969-09-09
09/10/1969,44.26,1969-09-10
09/11/1969,44.26,1969-09-11
09/12/1969,44.26,1969-09-12
09/13/1969,44.26,1969-09-13
09/14/1969,44.28,1969-09-14
09/15/1969,44.34,1969-09-15
09/16/1969,44.34,1969-09-16
09/17/1969,44.34,1969-09-17
09/18/1969,44.35,1969-09-18
09/19/1969,44.35,1969-09-19
09/20/1969,44.35,1969-09-20
09/21/1969,44.37,1969-09-21
09/22/1969,44.37,1969-09-22
09/23/1969,44.38,1969-09-23
09/24/1969,44.39,1969-09-24
09/25/1969,44.39,1969-09-25
09/26/1969,44.38,1969-09-26
09/27/1969,44.37,1969-09-27
09/28/1969,44.37,1969-09-28
09/29/1969,44.37,1969-09-29
09/30/1969,44.41,1969-09-30
10/01/1969,44.41,1969-10-01
10/02/1969,44.4,1969-10-02
10/03/1969,44.4,1969-10-03
10/04/1969,44.4,1969-10-04
10/05/1969,44.41,1969-10-05
10/06/1969,44.43,1969-10-06
10/07/1969,44.44,1969-10-07
10/08/1969,44.44,1969-10-08
10/09/1969,44.44,1969-10-09
10/10/1969,44.45,1969-10-10
10/11/1969,44.45,1969-10-11
10/12/1969,44.45,1969-10-12
10/13/1969,44.45,1969-10-13
10/14/1969,44.46,1969-10-14
10/15/1969,44.46,1969-10-15
10/16/1969,44.45,1969-10-16
10/17/1969,44.45,1969-10-17
10/18/1969,44.44,1969-10-18
10/19/1969,44.43,1969-10-19
10/20/1969,44.45,1969-10-20
10/21/1969,44.48,1969-10-21
10/22/1969,44.49,1969-10-22
10/23/1969,44.49,1969-10-23
10/24/1969,44.42,1969-10-24
10/25/1969,44.44,1969-10-25
10/26/1969,44.47,1969-10-26
10/27/1969,44.48,1969-10-27
10/28/1969,44.48,1969-10-28
10/29/1969,44.48,1969-10-29
10/30/1969,44.47,1969-10-30
10/31/1969,44.51,1969-10-31
11/01/1969,44.53,1969-11-01
11/02/1969,44.52,1969-11-02
11/03/1969,44.51,1969-11-03
11/04/1969,44.49,1969-11-04
11/05/1969,44.48,1969-11-05
11/06/1969,44.49,1969-11-06
11/07/1969,44.49,1969-11-07
11/08/1969,44.49,1969-11-08
11/09/1969,44.49,1969-11-09
11/10/1969,44.47,1969-11-10
11/11/1969,44.46,1969-11-11
11/12/1969,44.46,1969-11-12
11/13/1969,44.5,1969-11-13
11/14/1969,44.5,1969-11-14
11/15/1969,44.43,1969-11-15
11/16/1969,44.39,1969-11-16
11/17/1969,44.38,1969-11-17
11/18/1969,44.4,1969-11-18
11/19/1969,44.43,1969-11-19
11/20/1969,44.39,1969-11-20
11/21/1969,44.36,1969-11-21
11/22/1969,44.34,1969-11-22
11/23/1969,44.33,1969-11-23
