lev_dt,sl_lev_va,date
09/13/1974,44.36,1974-09-13
09/14/1974,44.35,1974-09-14
09/15/1974,44.34,1974-09-15
09/16/1974,44.31,1974-09-16
09/17/1974,44.3,1974-09-17
09/18/1974,44.27,1974-09-18
09/19/1974,44.26,1974-09-19
09/20/1974,44.23,1974-09-20
09/21/1974,44.23,1974-09-21
09/22/1974,44.22,1974-09-22
09/23/1974,44.21,1974-09-23
09/24/1974,44.17,1974-09-24
09/25/1974,44.19,1974-09-25
09/26/1974,44.19,1974-09-26
09/27/1974,44.17,1974-09-27
09/28/1974,44.13,1974-09-28
09/29/1974,44.13,1974-09-29
09/30/1974,44.12,1974-09-30
10/01/1974,44.09,1974-10-01
10/02/1974,44.06,1974-10-02
10/03/1974,44.03,1974-10-03
10/04/1974,43.99,1974-10-04
10/05/1974,44.01,1974-10-05
10/06/1974,44.03,1974-10-06
10/07/1974,44.03,1974-10-07
10/08/1974,44.02,1974-10-08
10/09/1974,43.99,1974-10-09
10/10/1974,43.96,1974-10-10
10/11/1974,43.9,1974-10-11
10/12/1974,43.87,1974-10-12
10/13/1974,43.87,1974-10-13
10/14/1974,43.86,1974-10-14
10/15/1974,43.85,1974-10-15
10/16/1974,43.83,1974-10-16
10/17/1974,43.81,1974-10-17
10/18/1974,43.78,1974-10-18
10/19/1974,43.77,1974-10-19
10/20/1974,43.72,1974-10-20
10/21/1974,43.67,1974-10-21
10/22/1974,43.63,1974-10-22
10/23/1974,43.64,1974-10-23
10/24/1974,43.64,1974-10-24
10/25/1974,43.63,1974-10-25
10/26/1974,43.61,1974-10-26
10/27/1974,43.59,1974-10-27
10/28/1974,43.58,1974-10-28
10/29/1974,43.56,1974-10-29
10/30/1974,43.51,1974-10-30
10/31/1974,43.51,1974-10-31
11/01/1974,43.49,1974-11-01
11/02/1974,43.48,1974-11-02
11/03/1974,43.46,1974-11-03
11/04/1974,43.46,1974-11-04
11/05/1974,43.45,1974-11-05
11/06/1974,43.44,1974-11-06
11/07/1974,43.41,1974-11-07
11/08/1974,43.37,1974-11-08
11/09/1974,43.37,1974-11-09
11/10/1974,43.37,1974-11-10
11/11/1974,43.35,1974-11-11
11/12/1974,43.34,1974-11-12
11/13/1974,43.28,1974-11-13
11/14/1974,43.24,1974-11-14
11/15/1974,43.23,1974-11-15
11/16/1974,43.2,1974-11-16
11/17/1974,43.19,1974-11-17
11/18/1974,43.18,1974-11-18
11/19/1974,43.17,1974-11-19
11/20/1974,43.2,1974-11-20
11/21/1974,43.23,1974-11-21
11/22/1974,43.23,1974-11-22
11/23/1974,43.2,1974-11-23
11/24/1974,43.17,1974-11-24
11/25/1974,43.16,1974-11-25
11/26/1974,43.11,1974-11-26
11/27/1974,43.08,1974-11-27
11/28/1974,43.05,1974-11-28
11/29/1974,43.03,1974-11-29
11/30/1974,43.03,1974-11-30
12/01/1974,43.03,1974-12-01
12/02/1974,42.99,1974-12-02
12/03/1974,42.95,1974-12-03
12/04/1974,42.91,1974-12-04
12/05/1974,42.89,1974-12-05
12/06/1974,42.88,1974-12-06
12/07/1974,42.88,1974-12-07
12/08/1974,42.88,1974-12-08
12/09/1974,42.83,1974-12-09
12/10/1974,42.79,1974-12-10
12/11/1974,42.81,1974-12-11
12/12/1974,42.79,1974-12-12
12/13/1974,42.79,1974-12-13
12/14/1974,42.74,1974-12-14
12/15/1974,42.81,1974-12-15
12/16/1974,42.78,1974-12-16
12/17/1974,42.73,1974-12-17
12/18/1974,42.67,1974-12-18
12/19/1974,42.77,1974-12-19
12/20/1974,42.75,1974-12-20
12/21/1974,42.74,1974-12-21
12/22/1974,42.67,1974-12-22
12/23/1974,42.61,1974-12-23
12/24/1974,42.6,1974-12-24
12/25/1974,42.6,1974-12-25
12/26/1974,42.58,1974-12-26
12/27/1974,42.54,1974-12-27
12/28/1974,42.53,1974-12-28
12/29/1974,42.52,1974-12-29
12/30/1974,42.5,1974-12-30
12/31/1974,42.48,1974-12-31
01/01/1975,42.44,1975-01-01
01/02/1975,42.45,1975-01-02
01/03/1975,42.44,1975-01-03
01/04/1975,42.44,1975-01-04
01/05/1975,42.41,1975-01-05
01/06/1975,42.39,1975-01-06
01/07/1975,42.37,1975-01-07
01/08/1975,42.38,1975-01-08
01/09/1975,42.35,1975-01-09
01/10/1975,42.36,1975-01-10
01/11/1975,42.33,1975-01-11
01/12/1975,42.38,1975-01-12
01/13/1975,42.37,1975-01-13
01/14/1975,42.34,1975-01-14
01/15/1975,42.33,1975-01-15
01/16/1975,42.28,1975-01-16
01/17/1975,42.26,1975-01-17
01/18/1975,42.25,1975-01-18
01/19/1975,42.25,1975-01-19
01/20/1975,42.25,1975-01-20
01/21/1975,42.19,1975-01-21
01/22/1975,42.17,1975-01-22
01/23/1975,42.16,1975-01-23
01/24/1975,42.16,1975-01-24
01/25/1975,42.19,1975-01-25
01/26/1975,42.13,1975-01-26
01/27/1975,42.08,1975-01-27
01/28/1975,42.06,1975-01-28
01/29/1975,42.06,1975-01-29
01/30/1975,42.06,1975-01-30
01/31/1975,42.03,1975-01-31
02/01/1975,42.02,1975-02-01
02/02/1975,42.01,1975-02-02
02/03/1975,42.01,1975-02-03
02/04/1975,41.99,1975-02-04
02/05/1975,41.99,1975-02-05
02/06/1975,42.01,1975-02-06
02/07/1975,41.99,1975-02-07
02/08/1975,41.93,1975-02-08
02/09/1975,41.99,1975-02-09
02/10/1975,41.97,1975-02-10
02/11/1975,41.96,1975-02-11
02/12/1975,41.93,1975-02-12
02/13/1975,41.91,1975-02-13
02/14/1975,41.92,1975-02-14
02/15/1975,41.85,1975-02-15
02/16/1975,41.83,1975-02-16
02/17/1975,41.82,1975-02-17
02/18/1975,41.8,1975-02-18
02/19/1975,41.79,1975-02-19
02/20/1975,41.77,1975-02-20
02/21/1975,41.73,1975-02-21
02/22/1975,41.76,1975-02-22
02/23/1975,41.79,1975-02-23
02/24/1975,41.8,1975-02-24
02/25/1975,41.78,1975-02-25
02/26/1975,41.78,1975-02-26
02/27/1975,41.8,1975-02-27
02/28/1975,41.76,1975-02-28
03/01/1975,41.74,1975-03-01
03/02/1975,41.72,1975-03-02
03/03/1975,41.67,1975-03-03
03/04/1975,41.63,1975-03-04
03/05/1975,41.64,1975-03-05
03/06/1975,41.62,1975-03-06
03/07/1975,41.61,1975-03-07
03/08/1975,41.61,1975-03-08
03/09/1975,41.58,1975-03-09
03/10/1975,41.59,1975-03-10
03/11/1975,41.56,1975-03-11
03/12/1975,41.53,1975-03-12
03/13/1975,41.54,1975-03-13
03/14/1975,41.52,1975-03-14
03/15/1975,41.47,1975-03-15
03/16/1975,41.47,1975-03-16
03/17/1975,41.46,1975-03-17
03/18/1975,41.48,1975-03-18
03/19/1975,41.53,1975-03-19
03/20/1975,41.49,1975-03-20
03/21/1975,41.47,1975-03-21
03/22/1975,41.46,1975-03-22
03/23/1975,41.45,1975-03-23
03/24/1975,41.45,1975-03-24
03/25/1975,41.43,1975-03-25
03/26/1975,41.38,1975-03-26
03/27/1975,41.37,1975-03-27
03/28/1975,41.38,1975-03-28
03/29/1975,41.39,1975-03-29
03/30/1975,41.39,1975-03-30
03/31/1975,41.38,1975-03-31
04/01/1975,41.34,1975-04-01
04/02/1975,41.33,1975-04-02
04/03/1975,41.33,1975-04-03
04/04/1975,41.29,1975-04-04
04/05/1975,41.28,1975-04-05
04/06/1975,41.27,1975-04-06
04/07/1975,41.26,1975-04-07
04/08/1975,41.23,1975-04-08
04/09/1975,41.23,1975-04-09
04/10/1975,41.23,1975-04-10
04/11/1975,41.35,1975-04-11
04/12/1975,41.34,1975-04-12
04/13/1975,41.34,1975-04-13
04/14/1975,41.33,1975-04-14
04/15/1975,41.35,1975-04-15
04/16/1975,41.33,1975-04-16
04/17/1975,41.31,1975-04-17
04/18/1975,41.3,1975-04-18
04/19/1975,41.29,1975-04-19
04/20/1975,41.26,1975-04-20
04/21/1975,41.24,1975-04-21
04/22/1975,41.21,1975-04-22
04/23/1975,41.2,1975-04-23
04/24/1975,41.2,1975-04-24
04/25/1975,41.19,1975-04-25
04/26/1975,41.18,1975-04-26
04/27/1975,41.17,1975-04-27
04/28/1975,41.16,1975-04-28
04/29/1975,41.15,1975-04-29
04/30/1975,41.13,1975-04-30
05/01/1975,41.11,1975-05-01
05/02/1975,41.11,1975-05-02
05/03/1975,41.09,1975-05-03
05/04/1975,41.09,1975-05-04
05/05/1975,41.09,1975-05-05
05/06/1975,41.06,1975-05-06
05/07/1975,41.04,1975-05-07
05/08/1975,41.03,1975-05-08
05/09/1975,41.01,1975-05-09
05/10/1975,41.01,1975-05-10
05/11/1975,41.01,1975-05-11
05/12/1975,40.99,1975-05-12
05/13/1975,40.98,1975-05-13
05/14/1975,40.97,1975-05-14
05/15/1975,40.97,1975-05-15
05/16/1975,40.97,1975-05-16
05/17/1975,40.95,1975-05-17
05/18/1975,40.95,1975-05-18
05/19/1975,40.94,1975-05-19
05/20/1975,40.94,1975-05-20
05/21/1975,40.92,1975-05-21
05/22/1975,40.9,1975-05-22
05/23/1975,40.88,1975-05-23
05/24/1975,40.88,1975-05-24
05/25/1975,40.87,1975-05-25
05/26/1975,40.85,1975-05-26
05/27/1975,40.85,1975-05-27
05/28/1975,40.83,1975-05-28
05/29/1975,40.83,1975-05-29
05/30/1975,40.83,1975-05-30
05/31/1975,40.83,1975-05-31
06/01/1975,40.83,1975-06-01
06/02/1975,40.82,1975-06-02
06/03/1975,40.83,1975-06-03
06/04/1975,40.83,1975-06-04
06/05/1975,40.83,1975-06-05
06/06/1975,40.83,1975-06-06
06/07/1975,40.83,1975-06-07
06/08/1975,40.81,1975-06-08
06/09/1975,40.8,1975-06-09
06/10/1975,40.79,1975-06-10
06/11/1975,40.78,1975-06-11
06/12/1975,40.78,1975-06-12
06/13/1975,40.78,1975-06-13
06/14/1975,40.78,1975-06-14
06/15/1975,40.79,1975-06-15
06/16/1975,40.83,1975-06-16
06/17/1975,40.83,1975-06-17
06/18/1975,40.8,1975-06-18
06/19/1975,40.79,1975-06-19
06/20/1975,40.8,1975-06-20
06/21/1975,40.8,1975-06-21
06/22/1975,40.79,1975-06-22
06/23/1975,40.78,1975-06-23
06/24/1975,40.76,1975-06-24
06/25/1975,40.8,1975-06-25
06/26/1975,40.8,1975-06-26
06/27/1975,40.79,1975-06-27
06/28/1975,40.78,1975-06-28
06/29/1975,40.78,1975-06-29
06/30/1975,40.77,1975-06-30
07/01/1975,40.77,1975-07-01
07/02/1975,40.74,1975-07-02
07/03/1975,40.75,1975-07-03
07/04/1975,40.76,1975-07-04
07/05/1975,40.77,1975-07-05
07/06/1975,40.78,1975-07-06
07/07/1975,40.75,1975-07-07
07/08/1975,40.74,1975-07-08
07/09/1975,40.71,1975-07-09
07/10/1975,40.71,1975-07-10
07/11/1975,40.71,1975-07-11
07/12/1975,40.77,1975-07-12
07/13/1975,40.77,1975-07-13
07/14/1975,40.77,1975-07-14
07/15/1975,40.77,1975-07-15
07/16/1975,40.77,1975-07-16
07/17/1975,40.75,1975-07-17
07/18/1975,40.77,1975-07-18
07/19/1975,40.77,1975-07-19
07/20/1975,40.8,1975-07-20
07/21/1975,40.81,1975-07-21
07/22/1975,40.81,1975-07-22
07/23/1975,40.8,1975-07-23
07/24/1975,40.8,1975-07-24
07/25/1975,40.8,1975-07-25
07/26/1975,40.8,1975-07-26
07/27/1975,40.87,1975-07-27
07/28/1975,40.87,1975-07-28
07/29/1975,40.88,1975-07-29
07/30/1975,40.88,1975-07-30
07/31/1975,40.88,1975-07-31
08/01/1975,40.93,1975-08-01
08/02/1975,41.0,1975-08-02
08/03/1975,41.04,1975-08-03
08/04/1975,41.14,1975-08-04
08/05/1975,41.14,1975-08-05
08/06/1975,41.1,1975-08-06
08/07/1975,41.06,1975-08-07
08/08/1975,41.01,1975-08-08
08/09/1975,40.98,1975-08-09
08/10/1975,40.97,1975-08-10
08/11/1975,40.97,1975-08-11
08/12/1975,41.02,1975-08-12
08/13/1975,41.06,1975-08-13
08/14/1975,41.09,1975-08-14
08/15/1975,41.09,1975-08-15
08/16/1975,41.15,1975-08-16
08/17/1975,41.15,1975-08-17
08/18/1975,41.17,1975-08-18
08/19/1975,41.17,1975-08-19
08/20/1975,41.17,1975-08-20
08/21/1975,41.16,1975-08-21
08/22/1975,41.14,1975-08-22
08/23/1975,41.13,1975-08-23
08/24/1975,41.14,1975-08-24
08/25/1975,41.15,1975-08-25
08/26/1975,41.15,1975-08-26
08/27/1975,41.14,1975-08-27
08/28/1975,41.12,1975-08-28
08/29/1975,41.14,1975-08-29
08/30/1975,41.22,1975-08-30
08/31/1975,41.16,1975-08-31
09/01/1975,41.15,1975-09-01
09/02/1975,41.32,1975-09-02
09/03/1975,41.35,1975-09-03
09/04/1975,41.37,1975-09-04
09/05/1975,41.35,1975-09-05
09/06/1975,41.33,1975-09-06
09/09/1975,41.28,1975-09-09
09/10/1975,41.32,1975-09-10
09/11/1975,41.33,1975-09-11
09/12/1975,41.34,1975-09-12
09/13/1975,41.34,1975-09-13
09/14/1975,41.35,1975-09-14
09/15/1975,41.37,1975-09-15
09/16/1975,41.41,1975-09-16
09/17/1975,41.51,1975-09-17
09/18/1975,41.67,1975-09-18
09/19/1975,41.74,1975-09-19
09/20/1975,41.83,1975-09-20
09/21/1975,41.92,1975-09-21
09/22/1975,42.0,1975-09-22
09/23/1975,42.02,1975-09-23
09/24/1975,42.03,1975-09-24
09/25/1975,42.06,1975-09-25
09/26/1975,42.09,1975-09-26
09/27/1975,42.09,1975-09-27
09/28/1975,42.07,1975-09-28
09/29/1975,42.04,1975-09-29
09/30/1975,42.03,1975-09-30
10/01/1975,42.04,1975-10-01
10/02/1975,42.05,1975-10-02
10/03/1975,42.04,1975-10-03
10/04/1975,42.04,1975-10-04
10/05/1975,42.04,1975-10-05
10/06/1975,42.08,1975-10-06
10/07/1975,42.11,1975-10-07
10/08/1975,42.1,1975-10-08
10/09/1975,42.11,1975-10-09
10/10/1975,42.13,1975-10-10
10/11/1975,42.14,1975-10-11
10/12/1975,42.16,1975-10-12
10/13/1975,42.17,1975-10-13
10/14/1975,42.17,1975-10-14
10/15/1975,42.18,1975-10-15
10/16/1975,42.21,1975-10-16
10/17/1975,42.22,1975-10-17
10/18/1975,42.21,1975-10-18
10/19/1975,42.21,1975-10-19
10/20/1975,42.19,1975-10-20
10/21/1975,42.18,1975-10-21
10/22/1975,42.17,1975-10-22
10/23/1975,42.15,1975-10-23
10/24/1975,42.13,1975-10-24
10/25/1975,42.13,1975-10-25
10/26/1975,42.12,1975-10-26
10/27/1975,42.11,1975-10-27
10/28/1975,42.1,1975-10-28
10/29/1975,42.11,1975-10-29
10/30/1975,42.11,1975-10-30
10/31/1975,42.09,1975-10-31
11/01/1975,42.08,1975-11-01
11/02/1975,42.09,1975-11-02
11/03/1975,42.09,1975-11-03
11/04/1975,42.08,1975-11-04
11/05/1975,42.07,1975-11-05
11/06/1975,42.08,1975-11-06
11/07/1975,42.11,1975-11-07
11/08/1975,42.11,1975-11-08
11/09/1975,42.11,1975-11-09
11/10/1975,42.11,1975-11-10
11/11/1975,42.1,1975-11-11
11/12/1975,42.11,1975-11-12
11/13/1975,42.15,1975-11-13
11/14/1975,42.14,1975-11-14
11/15/1975,42.17,1975-11-15
11/16/1975,42.21,1975-11-16
11/17/1975,42.21,1975-11-17
11/18/1975,42.21,1975-11-18
11/19/1975,42.23,1975-11-19
11/20/1975,42.25,1975-11-20
11/21/1975,42.25,1975-11-21
11/22/1975,42.23,1975-11-22
11/23/1975,42.24,1975-11-23
11/24/1975,42.25,1975-11-24
11/25/1975,42.25,1975-11-25
11/26/1975,42.26,1975-11-26
11/27/1975,42.25,1975-11-27
11/28/1975,42.18,1975-11-28
11/29/1975,42.13,1975-11-29
11/30/1975,42.12,1975-11-30
12/01/1975,42.13,1975-12-01
12/02/1975,42.11,1975-12-02
12/03/1975,42.07,1975-12-03
12/04/1975,42.05,1975-12-04
12/05/1975,42.03,1975-12-05
12/06/1975,42.02,1975-12-06
12/07/1975,42.05,1975-12-07
12/08/1975,42.05,1975-12-08
12/09/1975,42.06,1975-12-09
12/10/1975,42.02,1975-12-10
12/11/1975,41.97,1975-12-11
12/12/1975,41.96,1975-12-12
12/13/1975,41.94,1975-12-13
12/14/1975,41.94,1975-12-14
12/15/1975,41.97,1975-12-15
12/16/1975,41.96,1975-12-16
12/17/1975,41.95,1975-12-17
12/18/1975,41.92,1975-12-18
12/19/1975,41.87,1975-12-19
12/20/1975,41.89,1975-12-20
12/21/1975,41.9,1975-12-21
12/22/1975,41.88,1975-12-22
12/23/1975,41.88,1975-12-23
12/24/1975,41.86,1975-12-24
12/25/1975,41.87,1975-12-25
12/26/1975,41.87,1975-12-26
12/27/1975,41.84,1975-12-27
12/28/1975,41.81,1975-12-28
12/29/1975,41.83,1975-12-29
12/30/1975,41.85,1975-12-30
12/31/1975,41.86,1975-12-31
01/01/1976,41.81,1976-01-01
01/02/1976,41.8,1976-01-02
01/03/1976,41.78,1976-01-03
01/04/1976,41.76,1976-01-04
01/05/1976,41.76,1976-01-05
01/06/1976,41.78,1976-01-06
01/07/1976,41.79,1976-01-07
01/08/1976,41.8,1976-01-08
01/09/1976,41.74,1976-01-09
01/10/1976,41.77,1976-01-10
01/11/1976,41.77,1976-01-11
01/12/1976,41.76,1976-01-12
01/13/1976,41.75,1976-01-13
01/14/1976,41.74,1976-01-14
01/15/1976,41.77,1976-01-15
01/16/1976,41.78,1976-01-16
01/17/1976,41.66,1976-01-17
01/18/1976,41.64,1976-01-18
01/19/1976,41.68,1976-01-19
01/20/1976,41.69,1976-01-20
01/21/1976,41.69,1976-01-21
01/22/1976,41.68,1976-01-22
01/23/1976,41.68,1976-01-23
01/24/1976,41.67,1976-01-24
01/25/1976,41.66,1976-01-25
01/26/1976,41.67,1976-01-26
01/27/1976,41.65,1976-01-27
01/28/1976,41.66,1976-01-28
01/29/1976,41.66,1976-01-29
01/30/1976,41.66,1976-01-30
01/31/1976,41.74,1976-01-31
02/01/1976,41.74,1976-02-01
02/02/1976,41.61,1976-02-02
02/03/1976,41.59,1976-02-03
02/04/1976,41.59,1976-02-04
02/05/1976,41.63,1976-02-05
02/06/1976,41.63,1976-02-06
02/07/1976,41.61,1976-02-07
02/08/1976,41.62,1976-02-08
02/09/1976,41.58,1976-02-09
02/10/1976,41.57,1976-02-10
02/11/1976,41.58,1976-02-11
02/12/1976,41.56,1976-02-12
02/13/1976,41.57,1976-02-13
02/14/1976,41.54,1976-02-14
02/15/1976,41.54,1976-02-15
02/16/1976,41.56,1976-02-16
02/17/1976,41.54,1976-02-17
02/18/1976,41.54,1976-02-18
02/19/1976,41.53,1976-02-19
02/20/1976,41.51,1976-02-20
02/21/1976,41.49,1976-02-21
02/22/1976,41.51,1976-02-22
02/23/1976,41.46,1976-02-23
02/24/1976,41.44,1976-02-24
02/25/1976,41.46,1976-02-25
02/26/1976,41.48,1976-02-26
02/27/1976,41.47,1976-02-27
02/28/1976,41.46,1976-02-28
02/29/1976,41.44,1976-02-29
03/01/1976,41.43,1976-03-01
03/02/1976,41.41,1976-03-02
03/03/1976,41.39,1976-03-03
03/04/1976,41.39,1976-03-04
03/05/1976,41.39,1976-03-05
03/06/1976,41.38,1976-03-06
03/07/1976,41.38,1976-03-07
03/08/1976,41.39,1976-03-08
03/09/1976,41.41,1976-03-09
03/10/1976,41.38,1976-03-10
03/11/1976,41.34,1976-03-11
03/12/1976,41.34,1976-03-12
03/13/1976,41.33,1976-03-13
03/14/1976,41.34,1976-03-14
03/15/1976,41.34,1976-03-15
03/16/1976,41.36,1976-03-16
03/17/1976,41.29,1976-03-17
03/18/1976,41.26,1976-03-18
03/19/1976,41.28,1976-03-19
03/20/1976,41.28,1976-03-20
03/21/1976,41.28,1976-03-21
03/22/1976,41.26,1976-03-22
03/23/1976,41.24,1976-03-23
03/24/1976,41.23,1976-03-24
03/25/1976,41.24,1976-03-25
03/26/1976,41.23,1976-03-26
03/27/1976,41.22,1976-03-27
03/28/1976,41.24,1976-03-28
03/29/1976,41.23,1976-03-29
03/30/1976,41.21,1976-03-30
03/31/1976,41.19,1976-03-31
04/01/1976,41.18,1976-04-01
04/02/1976,41.14,1976-04-02
04/03/1976,41.14,1976-04-03
04/04/1976,41.14,1976-04-04
04/05/1976,41.14,1976-04-05
04/06/1976,41.18,1976-04-06
04/07/1976,41.18,1976-04-07
04/08/1976,41.24,1976-04-08
04/09/1976,41.21,1976-04-09
04/10/1976,41.14,1976-04-10
04/11/1976,41.16,1976-04-11
04/12/1976,41.16,1976-04-12
04/13/1976,41.15,1976-04-13
04/14/1976,41.14,1976-04-14
04/15/1976,41.12,1976-04-15
04/16/1976,41.1,1976-04-16
04/17/1976,41.09,1976-04-17
04/18/1976,41.09,1976-04-18
04/19/1976,41.09,1976-04-19
04/20/1976,41.1,1976-04-20
04/21/1976,41.1,1976-04-21
04/22/1976,41.08,1976-04-22
04/23/1976,41.06,1976-04-23
04/24/1976,41.05,1976-04-24
04/25/1976,41.06,1976-04-25
04/26/1976,41.06,1976-04-26
04/27/1976,41.05,1976-04-27
04/28/1976,41.0,1976-04-28
04/29/1976,40.99,1976-04-29
04/30/1976,41.0,1976-04-30
05/01/1976,41.01,1976-05-01
05/02/1976,41.02,1976-05-02
05/03/1976,41.02,1976-05-03
05/04/1976,40.96,1976-05-04
05/05/1976,40.94,1976-05-05
05/06/1976,40.93,1976-05-06
05/07/1976,40.95,1976-05-07
05/08/1976,40.94,1976-05-08
05/09/1976,40.94,1976-05-09
05/10/1976,40.94,1976-05-10
05/11/1976,40.94,1976-05-11
05/12/1976,40.92,1976-05-12
05/13/1976,40.9,1976-05-13
05/14/1976,40.92,1976-05-14
05/15/1976,41.12,1976-05-15
05/16/1976,41.44,1976-05-16
05/17/1976,41.51,1976-05-17
05/18/1976,41.57,1976-05-18
05/19/1976,41.61,1976-05-19
05/20/1976,41.66,1976-05-20
05/21/1976,41.73,1976-05-21
05/22/1976,41.82,1976-05-22
05/23/1976,41.92,1976-05-23
05/24/1976,41.97,1976-05-24
05/25/1976,42.07,1976-05-25
05/26/1976,42.15,1976-05-26
05/27/1976,42.21,1976-05-27
05/28/1976,42.3,1976-05-28
05/29/1976,42.36,1976-05-29
05/30/1976,42.4,1976-05-30
05/31/1976,42.5,1976-05-31
06/01/1976,42.52,1976-06-01
06/02/1976,42.56,1976-06-02
06/03/1976,42.6,1976-06-03
06/04/1976,42.62,1976-06-04
06/05/1976,42.66,1976-06-05
06/06/1976,42.7,1976-06-06
06/07/1976,42.75,1976-06-07
06/08/1976,42.77,1976-06-08
06/09/1976,42.78,1976-06-09
06/10/1976,42.79,1976-06-10
06/11/1976,42.82,1976-06-11
06/12/1976,42.8,1976-06-12
06/13/1976,42.76,1976-06-13
06/14/1976,42.72,1976-06-14
06/15/1976,42.7,1976-06-15
06/16/1976,42.68,1976-06-16
06/17/1976,42.67,1976-06-17
06/18/1976,42.7,1976-06-18
06/19/1976,42.73,1976-06-19
06/20/1976,42.8,1976-06-20
06/21/1976,42.85,1976-06-21
06/22/1976,42.92,1976-06-22
06/23/1976,43.0,1976-06-23
06/24/1976,43.05,1976-06-24
06/25/1976,43.1,1976-06-25
06/26/1976,43.09,1976-06-26
06/27/1976,43.1,1976-06-27
06/28/1976,43.1,1976-06-28
06/29/1976,43.14,1976-06-29
06/30/1976,43.15,1976-06-30
07/01/1976,43.16,1976-07-01
07/02/1976,43.19,1976-07-02
07/03/1976,43.2,1976-07-03
07/04/1976,43.23,1976-07-04
07/05/1976,43.24,1976-07-05
07/06/1976,43.24,1976-07-06
07/07/1976,43.25,1976-07-07
07/08/1976,43.25,1976-07-08
07/09/1976,43.26,1976-07-09
07/10/1976,43.27,1976-07-10
07/11/1976,43.28,1976-07-11
07/12/1976,43.28,1976-07-12
07/13/1976,43.29,1976-07-13
07/14/1976,43.29,1976-07-14
07/15/1976,43.29,1976-07-15
07/16/1976,43.28,1976-07-16
07/17/1976,43.24,1976-07-17
07/18/1976,43.25,1976-07-18
07/19/1976,43.26,1976-07-19
07/20/1976,43.28,1976-07-20
07/21/1976,43.29,1976-07-21
07/22/1976,43.28,1976-07-22
07/23/1976,43.28,1976-07-23
07/24/1976,43.27,1976-07-24
07/25/1976,43.25,1976-07-25
07/26/1976,43.22,1976-07-26
07/27/1976,43.21,1976-07-27
07/28/1976,43.18,1976-07-28
07/29/1976,43.16,1976-07-29
07/30/1976,43.17,1976-07-30
07/31/1976,43.17,1976-07-31
08/01/1976,43.17,1976-08-01
08/02/1976,43.15,1976-08-02
08/03/1976,43.12,1976-08-03
08/04/1976,43.11,1976-08-04
08/05/1976,43.13,1976-08-05
08/06/1976,43.16,1976-08-06
08/07/1976,43.15,1976-08-07
08/08/1976,43.14,1976-08-08
08/09/1976,43.13,1976-08-09
08/10/1976,43.08,1976-08-10
08/11/1976,43.05,1976-08-11
08/12/1976,43.04,1976-08-12
08/13/1976,43.04,1976-08-13
08/14/1976,43.05,1976-08-14
08/15/1976,43.03,1976-08-15
08/16/1976,43.01,1976-08-16
08/17/1976,43.02,1976-08-17
08/18/1976,43.02,1976-08-18
08/19/1976,43.01,1976-08-19
08/20/1976,43.01,1976-08-20
08/21/1976,42.95,1976-08-21
08/22/1976,42.95,1976-08-22
08/23/1976,42.94,1976-08-23
08/24/1976,42.91,1976-08-24
08/25/1976,42.88,1976-08-25
08/26/1976,42.86,1976-08-26
08/27/1976,42.85,1976-08-27
08/28/1976,42.82,1976-08-28
08/29/1976,42.81,1976-08-29
08/30/1976,42.8,1976-08-30
08/31/1976,42.79,1976-08-31
09/01/1976,42.77,1976-09-01
09/02/1976,42.75,1976-09-02
09/03/1976,42.74,1976-09-03
09/04/1976,42.76,1976-09-04
09/05/1976,42.78,1976-09-05
09/06/1976,42.77,1976-09-06
09/07/1976,42.77,1976-09-07
09/08/1976,42.82,1976-09-08
09/09/1976,42.92,1976-09-09
09/10/1976,42.99,1976-09-10
09/11/1976,42.99,1976-09-11
09/12/1976,43.01,1976-09-12
09/13/1976,43.07,1976-09-13
09/14/1976,43.08,1976-09-14
09/15/1976,43.09,1976-09-15
09/16/1976,43.09,1976-09-16
09/17/1976,43.09,1976-09-17
09/18/1976,43.11,1976-09-18
09/19/1976,43.12,1976-09-19
09/20/1976,43.13,1976-09-20
09/21/1976,43.13,1976-09-21
09/22/1976,43.11,1976-09-22
09/23/1976,43.1,1976-09-23
09/24/1976,43.12,1976-09-24
09/25/1976,43.13,1976-09-25
09/26/1976,43.12,1976-09-26
09/27/1976,43.12,1976-09-27
09/28/1976,43.12,1976-09-28
09/29/1976,43.11,1976-09-29
09/30/1976,43.15,1976-09-30
10/01/1976,43.14,1976-10-01
10/02/1976,43.13,1976-10-02
10/03/1976,43.12,1976-10-03
10/04/1976,43.1,1976-10-04
10/05/1976,43.09,1976-10-05
10/06/1976,43.09,1976-10-06
10/07/1976,43.08,1976-10-07
10/08/1976,43.09,1976-10-08
10/09/1976,43.08,1976-10-09
10/10/1976,43.05,1976-10-10
10/11/1976,43.05,1976-10-11
10/12/1976,43.03,1976-10-12
10/13/1976,43.02,1976-10-13
10/14/1976,43.03,1976-10-14
10/15/1976,43.02,1976-10-15
10/16/1976,42.99,1976-10-16
10/17/1976,43.01,1976-10-17
10/18/1976,42.96,1976-10-18
10/19/1976,42.94,1976-10-19
10/20/1976,42.96,1976-10-20
10/21/1976,42.9,1976-10-21
10/22/1976,42.86,1976-10-22
10/23/1976,42.86,1976-10-23
10/24/1976,42.88,1976-10-24
10/25/1976,42.91,1976-10-25
10/26/1976,42.9,1976-10-26
10/27/1976,42.86,1976-10-27
10/28/1976,42.82,1976-10-28
10/29/1976,42.81,1976-10-29
