,clean_text,retweets,favorites
76,BMW launches new digital mobility eerience based on the Open Mobility Cloud using Microsoft..  ,0.0,0.0
77,Entrepreneurs are just astronauts who are not physically qualified to be crazy to want a -year-old BMW .,0.0,0.0
78,COUPÃ CIA AUT Año Click » https:// 00 kms $ 90.000,1.0,0.0
79,Cars of the Future defined BMW Reviews History of the Series in New Videos . ses-videos-history-5-series/ …,0.0,0.0
80,BMW M5 bmw m5   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=252701010011&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …,0.0,0.0
81,BMW M3 **NO RESERVE** BMW M3 (E46) - Supercharged whp   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=152371384551&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …,0.0,0.0
82,BMW -Series i BMW i TwinTurbo Navigation   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=252697990908&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …,0.0,0.0
83,"there's STILL like inches of ice in front of the BMW house, they are my nemeses",0.0,0.0
84,Great under $20k. of Tri-Cities has that great . Save Big w/ year end Incentives.  ,0.0,0.0
85,AT Año Click » https:// 00 kms $ 90.000,1.0,0.0
86,Bmw z4 . i . unda-mano/bmw_z4_2_0i_-3477467.htm?utm_source=Twitter&utm_medium=Twitter&utm_campaign=rsscuidatucoche …,0.0,0.0
87,TAPA VOLANTE CARBONO BMW M3 E46 -06 https://,0.0,0.0
88,BMW Remotely Locks Stolen Car With Alleged Thief Still Inside   ocks-stolen-car-with-alleged-thief-still-1789674614?utm_mediumharefromsite&utm_source=Gizmodo_twitter …,0.0,0.0
89,En route to the end of the year. The new BMW M550i rive.  ,0.0,0.0
90,BMW Releases Videos on the History of the Series  ,0.0,0.0
91,BMW Releases Videos on the History of the Series  ,0.0,0.0
92,A fresh take on a digital model for automakers.  ,0.0,1.0
93,BMW Releases Videos on the History of the Series . bmw-releases-videos-on-the-history-of-the-5-series …,0.0,0.0
94,Me and my best friends gon enjoy tonight BMW,0.0,0.0
95,"I am selling BMW i for $4,950 near: Grand Terrace on OfferUp. https:// ?utm_source=twitter&utm_mediumcial&utm_campaignwnershare …",0.0,0.0
96,BMW for sale and FREE in   Best resource for BMW cars updated daily,0.0,0.0
