clean_text$retweets$favorites$sento_anal
Tesla may give its Model S design a slight redesign in  Ever since its release the Tesla Model S ha $0.0$0.0$0.4301902651786804
Tesla may give its Model S design a slight redesign in  Ever since its release the Tesla Model S ha $0.0$0.0$0.4301902651786804
Consumer Reports loves the Tesla Model S so much they put it on their Top Ten Cars of listtwice $1.0$2.0$0.4976460337638855
A redesign of the Tesla Model S could be on the way tsla $0.0$0.0$0.3663707673549652
Tesla may give its Model S design a slight redesign in  Ever since its release the Tesla Model S ha $0.0$0.0$0.4301902651786804
Tesla may give its Model S design a slight redesign in  Ever since its release the Tesla Model S ha $0.0$1.0$0.4301902651786804
Consumer Reports best car of  Tesla Model S  No  Tesla Model S $0.0$0.0$0.4928167760372162
What can you fit in the frunk of a Tesla Model S  $0.0$0.0$0.4210715591907501
Tesla may give its Model S design a slight redesign in  Ever since its release the Tesla Model S ha $0.0$0.0$0.4301902651786804
Tesla may give its Model S design a slight redesign in  Ever since its release the Tesla Model S ha $0.0$0.0$0.4301902651786804
Tesla may give its Model S design a slight redesign in  Ever since its release the Tesla Model S ha $0.0$0.0$0.4301902651786804
The Tesla Model S Daily is out  itionid1bf62670b01011e5a58f0cc47a0d15fd … Stories via$1.0$1.0$0.4962790608406067
in review   and and  inreview …$1.0$3.0$0.5779261589050293
What If The Tesla Model S Was Tuned By Liberty Walk  tiftheteslamodelswastunedbylibertywalk2 …$0.0$0.0$0.48706626892089844
 If you buy a Tesla Model S outside of the US you get for free$0.0$0.0$0.39152583479881287
Tesla Model S Was World’s BestSelling Electric Car In November  worldsbestsellingelectriccarnovember …$0.0$0.0$0.4395025372505188
Video Model S frunk $1.0$3.0$0.4274601340293884
gas post Tesla Model S Highest Ranked Car Of $0.0$0.0$0.4295419156551361
gas post Tesla Model S Highest Ranked Car Of $0.0$0.0$0.4295419156551361
New post Consumer Reports Tesla Model S Is s Best Car  $0.0$0.0$0.2570086121559143
I liked a video  How to Supercharge the Tesla Model S P85D$0.0$0.0$0.39710497856140137
Napa Valley Tesla A Tesla Model S Redesign May Make It More Like Model X … $0.0$1.0$-0.03518339619040489
Great episode of Comedians in Cars Getting Coffee w President Obama  Corvette Stingray  Model S next  ckobamajusttellhimyourethepresident …$0.0$0.0$0.3942961096763611
Tesla Model S  Gloss Carmine Red Vinyl Wrap  Chicago Auto Pros  via$0.0$0.0$0.4781852066516876
Tesla Model S goes up for auction in two weeks Click here for more details $0.0$0.0$0.3900654911994934
Tesla Model S Is Highest Rated Car Of Among Eert Reviewers $0.0$0.0$0.3160693645477295
Tesla Model S Highest Ranked Car Of   via  newsgooglecom $0.0$0.0$0.39911332726478577
Tesla Model S due for Model Xinspired facelift The redesign is… $0.0$0.0$0.3679395020008087
A Tesla Model S Redesign May Make It More Like Model X $0.0$0.0$-0.1146087795495987
Tesla Model S buyers review  via$0.0$0.0$0.3846367597579956
 Tesla Model S  Fallout  Hello  Adele  Confused Travolta  Between the World and Me  TaNehisi Coates$0.0$1.0$0.48438355326652527
Consumer Reports still in love with Tesla Model S  giving the car st  nd spots on its best cars of  list  modelsp85dearnstoproadtestscore …$9.0$8.0$0.5055639147758484
Tesla Model S due for Model Xinspired facelift  LeftLaneNews cars Cars  View thou…$0.0$0.0$0.48731857538223267
A redesign of the Tesla Model S could be on the way via  via  TSLA$0.0$0.0$-0.08268162608146667
Napa Valley Tesla Tesla Model S Highest Ranked Car Of  Gas $0.0$0.0$0.5409165620803833
Just passed a Tesla Model S on Deerfoot and his license plate was LOL GAS$0.0$7.0$0.4275895357131958
What can you fit in the frunk of a Tesla Model S  $0.0$0.0$0.4210715591907501
I liked a video  Review Tesla Model S P90D Almost Perfect$0.0$0.0$0.44316601753234863
 survey shows Tesla Model S  Ford Mustang among the most loved by owners while Kia Rio disappoints $0.0$0.0$0.36628371477127075
Despite hype Nissan Leaf outsells Tesla Model S to1  $0.0$1.0$0.5006373524665833
I added a video to a playlist  Tesla Model S buyers review$0.0$0.0$0.3283196687698364
Tesla Model S Highest Ranked Car Of $0.0$0.0$0.43156155943870544
Recharge Wrapup Tesla Model S redesign pet cargo cover  alphatech5 Recharge Wrapup Tesla Model S  $0.0$0.0$0.46871063113212585
This couple is saving more than they spent on Tesla Model S $0.0$0.0$0.3801509439945221
There are rumors of a Tesla Model S design update   via  newsgooglecom $0.0$0.0$0.4278304874897003
Giveaway Tesla Model S$0.0$0.0$0.4647759199142456
A redesign of the Tesla Model S could be on the way tsla $0.0$0.0$0.3663707673549652
This raffle for a Tesla Model S will be an incredible deal for some lucky person  ricingawarenessraffle …$0.0$1.0$0.47739672660827637
VW Buybacks Hyundai FuelCell SUV Tesla Model S Refresh Todays Car News $0.0$0.0$0.2389226257801056
Consumer Reports Top Best Cars of  feature the electric Tesla Model S Twice  …$0.0$0.0$0.6048234105110168
Samsung Gear S2 Classic meets Tesla Model S … $0.0$2.0$0.36436542868614197
Tesla Model S Highest Ranked Car Of  lamodelshighestrankedcarof2015 …$0.0$0.0$0.5237189531326294
Tesla Model S Highest Ranked Car Of $0.0$0.0$0.43156155943870544
A redesign of the Tesla Model S could be on the way tsla $0.0$0.0$0.3663707673549652
A redesign of the Tesla Model S could be on the way tsla$0.0$0.0$0.3663707673549652
A redesign of the Tesla Model S could be on the way tsla $0.0$0.0$0.3663707673549652
Tesla Model S ’e $0.0$0.0$0.4781857430934906
A redesign of the Tesla Model S could be on the way tsla $0.0$0.0$0.3663707673549652
businessinsider A redesign of the Tesla Model S could be on the way via greencarreports $0.0$0.0$0.1499500423669815
clusterstock A redesign of the Tesla Model S could be on the way via greencarreports $0.0$0.0$0.1499500423669815
A redesign of the Tesla Model S could be on the way via greencarreports $0.0$0.0$0.1499500423669815
The Tesla Model S managed to get the first and second positions on Consumer Reports’ list of Best Cars of  lamodelsfirstsecondpositionconsumerreportsbestcarsof2015 …$0.0$1.0$0.19272355735301971
A redesign of the Tesla Model S could be on the way via greencarreports $0.0$0.0$0.1499500423669815
businessinsider A redesign of the Tesla Model S could be on the way via greencarreports $0.0$0.0$0.1499500423669815
Trendy A redesign of the Tesla Model S could be on the way via greencarreport…$0.0$0.0$0.1499500423669815
businessinsider A redesign of the Tesla Model S could be on the way via greencarreports  $0.0$0.0$0.1499500423669815
A redesign of the Tesla Model S could be on the way via $6.0$3.0$0.43603432178497314
A redesign of the Tesla Model S could be on the way via $0.0$0.0$0.43603432178497314
Tesla Model S Grabs  Spot On Consumer Reports’ “Best Cars of ” List  $0.0$0.0$0.4623677134513855
Park Electrical is on Dargan Rd Owner drives a Tesla Model S$0.0$0.0$0.4401422441005707
There are rumors of a Tesla Model S design update $0.0$0.0$0.5063893795013428
There are rumors of a Model S design update $0.0$1.0$0.5636789798736572
What If The Tesla Model S Was Tuned By Liberty Walk $0.0$0.0$0.5137411952018738
Formula E Tesla Model S the future of JDM Culture  DkOpQ …$0.0$0.0$0.516900897026062
Tesla Model S Tops Consumer Reports YearEnd List of Most Loved Cars $0.0$0.0$0.45735257863998413
Tesla Model S Was Worlds BestSelling Electric Car In November $0.0$1.0$0.5013297200202942
First time ever that a single car grabbed the top spots Tesla Model S for the win  grabs12spotconsumerreportsbestcars2015list …$3.0$4.0$0.4497743546962738
Tesla Model S Grabs  Spot On Consumer Reports’ “Best Cars of ” List $0.0$0.0$0.4623677134513855
Tesla Model S buyers review  via$0.0$0.0$0.3846367597579956
What If The Tesla Model S Was Tuned By Liberty Walk It has created a… $0.0$0.0$0.42648234963417053
Tesla Model S oder$0.0$2.0$0.4781857430934906
Hey u forgot to state which year when u told us we can NOW listen to Spotify in our $1.0$2.0$0.08545702695846558
What If The Tesla Model S Was Tuned By Liberty Walk It has created a brand new niche and as it alway $0.0$0.0$0.36766842007637024
 hybridhatchcom Tesla Model S was the best selling plugin electric car in November with over 000 units$0.0$0.0$0.4046800434589386
What If The Model S Was Tuned By   fteslamodelswastunedbyhtmlutmsourcelvritutmmediumtwitter …$3.0$5.0$0.49095290899276733
What If The Tesla Model S Was Tuned By Liberty Walk cars Cars  View thousands of Us…$0.0$0.0$0.5247321128845215
The woman hired to take on Elon Musk drives a Tesla Model S  … via$0.0$0.0$0.47821244597435
What If The Tesla Model S Was Tuned By Liberty Walk $0.0$0.0$0.5137411952018738
What If The Tesla Model S Was Tuned By Liberty Walk $0.0$0.0$0.5137411952018738
