clean_text$retweets$favorites$sento_anal
Yep but theres no real hybrid sportscars available like the i5 Volvo V60 D6 AWD Hybrid is ruddy torquey tho$0.0$0.0$0.49530187249183655
Shes clean again s oprit $0.0$0.0$0.5489680171012878
FivePoint Inspection Volvo V60 Polestar  12fivepointinspection2015volvov60polestarhtml … via$0.0$0.0$0.48842793703079224
VolvoWorld News is out  … Stories via$0.0$0.0$0.4337415099143982
Check out these videos featuring Dirty Car Artist Scott Wade  a Volvo V60 Cross Country $0.0$0.0$0.3660460114479065
Magnifique photo $0.0$0.0$0.45632824301719666
Volvo V60 Cross Country Photos and Info Raising the Wagon’s Profile $0.0$0.0$0.499321848154068
Volvo V60 T6 R Design In a world of automotive sameness Volvo stays different and cranks up the apps wi $0.0$0.0$0.5206342339515686
Volvo V60 T6 R Design In a world of automotive sameness Volvo stays different and cranks up the apps wi $0.0$0.0$0.5206342339515686
FivePoint Inspection Volvo V60 Polestar  $0.0$0.0$0.4619891941547394
Saying bye to my other weekly driver tomorrow a V60 T6 RDesign AWD V6 engine  very good storage $0.0$0.0$0.6859335899353027
Times up Did you guess the last of  The answer is a Volvo V60 $0.0$0.0$0.3701607584953308
New post FivePoint Inspection Volvo V60 Polestar  by JAPANCARS$0.0$0.0$0.5068051815032959
FivePoint Inspection Volvo V60 Polestar  ed3KYnMb1cXUI0 …$0.0$0.0$0.4406348466873169
FivePoint Inspection Volvo V60 Polestar FivePoint Inspection Volvo V60 Polestar If you want a $0.0$0.0$0.3152371644973755
FivePoint Inspection Volvo V60 Polestar $0.0$1.0$0.4619891941547394
Volvo V60 Cross Country $0.0$0.0$0.40790823101997375
The Volvo S60 and the Volvo V60 were both named as the safest midsize luxury cars by IIHS’ “Top $0.0$0.0$0.5005552768707275
Volvo V60 T5 DriveE Luxury Wagon Review pFor a long time Volvo was the goto wagon supplier for so ma $0.0$0.0$0.5269359350204468
Chris Evans Volvo V60 Polestar Yes the supersensible Scandibore has turned into a superfast Swede $0.0$0.0$0.38699230551719666
Volvo V60 Cross Country $0.0$0.0$0.40790823101997375
Volvo V60 Cross Country $0.0$0.0$0.40790823101997375
The Volvo V60 is Actually Stylish Even as a Station Wagon  via$0.0$0.0$0.40744343400001526
VolvoWorld News is out  … Stories via$0.0$0.0$0.4337415099143982
VolvoWorld News is out  … Stories via$3.0$0.0$0.4337415099143982
Volvo V60 Cross Country $0.0$0.0$0.40790823101997375
See the Volvo V60 Cross Country in its natural habitat $0.0$0.0$0.3570581078529358
VIDEO Volvo V60  $0.0$0.0$0.5597769021987915
VolvoWorld News is out  … Stories via$0.0$0.0$0.4337415099143982
Hey this lady thinking about a Volvo V60 travels through snow and rough terrainyou had anything to do with em$0.0$0.0$0.48252415657043457
Because   … $0.0$0.0$0.5066249966621399
V60 Cross Country Los Angeles’ta  Volvo’nun $0.0$0.0$0.45632824301719666
Volvo V60 Cross Country $0.0$0.0$0.40790823101997375
Volvo V60 Cross Country $0.0$0.0$0.40790823101997375
Polestar Volvo V60 D6 Hybrid Motor Tuning  Specs $0.0$0.0$0.565850019454956
We just uploaded new videos of the  $0.0$0.0$0.09022969007492065
V60 PlugIn RDesign  Go to $0.0$0.0$0.42587655782699585
long term Volvo V60 D4 auto mway miles SW London to Nwest Computer says mpg brim says 4mpg$1.0$0.0$0.4967777729034424
VolvoWorld News is out  … Stories via$0.0$0.0$0.4337415099143982
Volvo V60 T6 AWD RDesign is in the CF garage $3.0$2.0$0.422984778881073
Volvo V60 T6 AWD RDesign is in the CF garage $0.0$0.0$0.422984778881073
Watch Anton Krupicka Tom Oehler JeanBaptise Chandelier and the new V60 Cross Country elore the Pyrenees $0.0$0.0$0.5019506812095642
Just saw of the Volvo V60 Polestars theyve brought to Britain The owner says its hang on fast Good $0.0$0.0$-0.016135919839143753
VolvoWorld News is out  … Stories via$0.0$0.0$0.4337415099143982
Cardeck reviews the Volvo V60  Motoring  Cardeck  ov60review …$0.0$0.0$0.5455352663993835
Volvo V60 Cross Country $0.0$0.0$0.4079084098339081
