clean_text$retweets$favorites$sento_anal
New post Review The Volvo V60 T5 AWD Cross Country is a Swedish Fjord Ranger has been published on Auto $0.0$0.0$0.7118446230888367
Volvo V60 Cross Country D4 pk Summum Intellisafe P bj 01km EUR 0000 $0.0$0.0$0.4568151533603668
Road Test Review  Volvo V60 Cross Country Platinum  By Carl Malek   CarRevsDailycom  dtestreview2017volvov60crosscountryplatinumbycarlmalekWGcVv6b4dFEtwitter …$0.0$0.0$0.5117562413215637
Ned and his son Grady taking delivery of their new Volvo V60 from sales consultant Rex Graham Thank you for your b…$0.0$0.0$0.43351519107818604
Volvo V60  The Volvo V60 is the automakers smallest wagon for now and carries the banner for the car $0.0$0.0$0.6051275730133057
CarConnection  Volvo V60  via Twit…  status814833961893392384 … $0.0$0.0$0.5093579888343811
Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon Video $0.0$0.0$0.4498118460178375
Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon Video $0.0$0.0$0.4498118460178375
Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon Video Read Blog $0.0$0.0$0.3960053324699402
Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon Video Read Blog $0.0$0.0$0.3960053324699402
Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon Video  Clea…  lychargedpullsbackskinvolvov60d5phevwagonvideo …  see more $0.0$0.0$0.3049004077911377
New post Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon Video $0.0$0.0$0.44937318563461304
Top story Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon Vi…  lychargedpullsbackskinvolvov60d5phevwagonvideo …  see more  tnp …$0.0$0.0$0.5686941146850586
Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon Video  Clea…  lychargedpullsbackskinvolvov60d5phevwagonvideo …  see more $0.0$0.0$0.3049004077911377
Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon Video  pullsbacktheskinonthevolvov60d5phevwagonvideo …$0.0$0.0$0.4229050874710083
Fully Charged Pulls Back The Skin On The Volvo V60 D5 PHEV Wagon Video  CleanTechnica $0.0$0.0$0.38016465306282043
